date,adj_close,adj_factor,adj_high,adj_low,adj_open,adj_volume,close,ex_dividend,high,low,open,split_ratio,volume
2014-09-30,8.01,1,11.37,7.98,8.01,593743153.0,8.01,0.0,11.37,7.98,8.01,1.0,593743153.0
2014-06-30,7.96,1,7.99,5.97,7.28,397822200.0,7.96,0.0,7.99,5.97,7.28,1.0,397822200.0
2014-03-31,7.22,1,8.24,5.79,8.16,427137200.0,7.22,0.0,8.24,5.79,8.16,1.0,427137200.0
2013-12-31,8.2,1,8.47,3.73,3.77,410903100.0,8.2,0.0,8.47,3.73,3.77,1.0,410903100.0
2013-09-30,3.75,1,4.65,2.92,3.0,319353600.0,3.75,0.0,4.65,2.92,3.0,1.0,319353600.0
2013-06-30,3.04,1,3.8,2.76,3.32,374106900.0,3.04,0.0,3.8,2.76,3.32,1.0,374106900.0
2013-03-31,3.31,1,4.94,3.25,4.85,397114900.0,3.31,0.0,4.94,3.25,4.85,1.0,397114900.0
2012-12-31,4.6,1,5.9,3.42,4.92,567511300.0,4.6,0.0,5.9,3.42,4.92,1.0,567511300.0
2012-09-30,4.8,1,6.73,4.44,5.89,465620700.0,4.8,0.0,6.73,4.44,5.89,1.0,465620700.0
2012-06-30,5.87,1,7.74020979020979,4.59,7.43454545454545,476409900.0,5.87,0.05,7.85,4.59,7.54,1.0,476409900.0
2012-03-31,7.45426573426573,1,10.0676364607615,6.7048951048951,8.25487713675214,552121500.0,7.56,0.05,10.33,6.8,8.47,1.0,552121500.0
2011-12-31,8.05021076146076,1,9.01506653069153,5.3079742764461,6.23277560228788,572255300.0,8.26,0.05,9.35,5.51,6.47,1.0,572255300.0
2011-09-30,6.30020903229718,1,15.9595083084064,6.26167564372044,15.0448141008798,621972200.0,6.54,0.05,16.75,6.5,15.79,1.0,621972200.0
2011-06-30,15.0162299068946,1,16.153688839273,13.1392011685328,15.0654204054614,491279900.0,15.76,0.05,17.07,13.79,15.92,1.0,491279900.0
2011-03-31,14.9329355526496,1,16.9202083448273,13.1636678338019,15.5613359035301,576389300.0,15.78,0.05,17.88,14.0,16.55,1.0,576389300.0
2010-12-31,15.392088745667,1,15.8434144999687,11.2732196530521,13.0463253931845,418917400.0,16.37,0.05,16.85,12.08,13.98,1.0,418917400.0
2010-09-30,12.88767909012,1,14.5426817022406,10.504077102128,11.1246883594847,539086500.0,13.81,0.05,15.7,11.34,12.01,1.0,539086500.0
2010-06-30,11.041322668198,1,23.1254528431456,10.9672198314987,21.4867862005979,786451100.0,11.92,0.05,25.12,11.84,23.34,1.0,786451100.0
2010-03-31,21.0448985666524,1,24.5063695923104,17.6079410678208,20.0631586568822,578288100.0,22.86,0.05,26.75,19.22,21.9,1.0,578288100.0
2009-12-31,19.559289375545,1,20.8876720263431,13.6907360725672,17.880848243812,490116100.0,21.35,0.05,22.8,15.03,19.63,1.0,490116100.0
2009-09-30,17.971937638839,1,22.1073961730676,13.3888775283122,17.7037764473891,528178600.0,19.73,0.05,24.27,14.77,19.53,1.0,528178600.0
2009-06-30,17.3955693817408,1,19.6708627193213,6.11957281027107,6.20943437870383,636394800.0,19.19,0.05,21.7,6.81,6.91,1.0,636394800.0
2009-03-31,6.39814367241263,1,11.6121961806686,4.84353853852585,8.32488739195598,563039600.0,7.12,0.05,13.07,5.39,9.37,1.0,563039600.0
2008-12-31,8.28046430021662,1,22.2962617835817,4.62000154089339,22.2874906341782,581020200.0,9.32,0.05,25.42,5.2,25.41,1.0,581020200.0
2008-09-30,22.7348192537544,1,59.619165647764,19.7701707553868,59.0676227056482,406041900.0,25.92,0.05,68.1,22.54,67.47,1.0,406041900.0
2008-06-30,60.407084136501,1,63.9702266355671,47.3894200382984,48.5608242598686,217618100.0,69.0,0.05,73.07,54.21,55.55,1.0,217618100.0
2008-03-31,47.5729983118281,1,49.9944831579098,29.8337187739392,40.7378557527181,200580600.0,54.42,0.05,57.19,34.2,46.7,1.0,200580600.0
