year,period,acquisitions,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,othernetchangesincash,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
2011,Q2,,4000000.0,,,139700000.0,,-219100000.0,-72400000.0,331000000.0,244100000.0,-89600000.0,-163000000.0,244100000.0,-89600000.0,-163000000.0,-8500000.0,32400000.0,32400000.0,-120000000.0,100000.0,-200000.0,,-5500000.0,,-89400000.0,-9100000.0,,,
2011,Q1,,4500000.0,,,46700000.0,,-163600000.0,72400000.0,76400000.0,141600000.0,-106900000.0,-197400000.0,141600000.0,-106900000.0,-197400000.0,-162700000.0,8500000.0,8500000.0,-93500000.0,100000.0,400000.0,,-5500000.0,,-107300000.0,-400000.0,-1400000.0,,
2010,Q4,,2700000.0,,,46600000.0,,-47400000.0,-88400000.0,298000000.0,200600000.0,-108400000.0,44100000.0,200600000.0,-108400000.0,44100000.0,136300000.0,-98500000.0,-98500000.0,140700000.0,,-800000.0,,-5500000.0,,-107600000.0,-3300000.0,-200000.0,,
2010,Q3,,3100000.0,,,50300000.0,,23400000.0,53400000.0,1000000.0,48200000.0,-75000000.0,-22200000.0,48200000.0,-75000000.0,-22200000.0,-49000000.0,-60000000.0,-60000000.0,-39000000.0,,-200000.0,,-5500000.0,,-74800000.0,-500000.0,-200000.0,,
2010,Q2,,5100000.0,,,49900000.0,,-111500000.0,35000000.0,399600000.0,-87600000.0,-66000000.0,-47100000.0,-87600000.0,-66000000.0,-47100000.0,-200700000.0,26400000.0,26400000.0,-17000000.0,-2300000.0,3000000.0,,-5500000.0,,-69000000.0,-514400000.0,,,
2010,Q1,,5900000.0,,,50300000.0,,-77800000.0,,2200000.0,-7400000.0,-16900000.0,-107200000.0,-7400000.0,-16900000.0,-107200000.0,-131500000.0,1400000.0,1400000.0,-87000000.0,3600000.0,-2000000.0,,-5500000.0,,-14900000.0,-200000.0,-7500000.0,,
2009,Q4,,2400000.0,24900000.0,-39000000.0,50700000.0,,31000000.0,29000000.0,-500000.0,-2000000.0,-22000000.0,146200000.0,-2000000.0,-22000000.0,146200000.0,122200000.0,37900000.0,37900000.0,24200000.0,-24800000.0,20300000.0,,-5500000.0,,-42300000.0,-200000.0,,,
2009,Q3,,3100000.0,800000.0,10600000.0,51000000.0,,-99600000.0,,500000.0,4600000.0,-16100000.0,-34800000.0,4600000.0,-16100000.0,-34800000.0,-46300000.0,5700000.0,5700000.0,5000000.0,9800000.0,-1700000.0,,-5500000.0,,-14400000.0,-200000.0,,,
2009,Q2,,3300000.0,1300000.0,27000000.0,51600000.0,,-35800000.0,,1000000.0,-2000000.0,-50600000.0,-23600000.0,-2000000.0,-50600000.0,-23600000.0,-76200000.0,-48000000.0,-48000000.0,5300000.0,4300000.0,-6700000.0,,-5500000.0,,-43900000.0,-1800000.0,,,
2009,Q1,,3300000.0,-27000000.0,1400000.0,51300000.0,,61000000.0,,,-27000000.0,-44700000.0,-29000000.0,-27000000.0,-44700000.0,-29000000.0,-100700000.0,-73600000.0,-73600000.0,-71000000.0,11200000.0,-11800000.0,,-5500000.0,,-32900000.0,-21300000.0,-11400000.0,,
2008,Q4,,3100000.0,-52800000.0,-25800000.0,48200000.0,,-173100000.0,,,-3800000.0,-97100000.0,222200000.0,-3800000.0,-97100000.0,222200000.0,121300000.0,-430500000.0,-430500000.0,774500000.0,45400000.0,-47600000.0,,-5600000.0,-3900000.0,-46000000.0,-29200000.0,-14400000.0,,400000.0
2008,Q3,,2900000.0,26000000.0,1300000.0,50500000.0,,-113500000.0,,-1300000.0,-8300000.0,-31000000.0,99900000.0,-8300000.0,-31000000.0,99900000.0,60600000.0,188500000.0,188500000.0,-28500000.0,100000.0,-400000.0,,-5600000.0,-4000000.0,-34600000.0,-1400000.0,-100000.0,,8000000.0
